documents,chapter,content,requirements,需求声明,制定流程,形成指定内容,形成程序文件,形成其他文件,形成记录
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,组织应编制质量手册。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应包括质量管理体系的范围。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应包括任何删减或不适用的详细说明和理由。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应包括质量管理体系的形成文件的程序或对其引用。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应包括质量管理体系过程之间的相互作用的表述。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,4.2 文件要求,"4.2.2 质量手册
组织应编制质量手册，质量手册包括：
a) 质量管理体系的范围，包括任何删减或不适用的详细说明和理由；
b) 质量管理体系的形成文件的程序或对其引用；
c) 质量管理体系过程之间的相互作用的表述。
质量手册应概述质量管理体系文件的结构。","文件要求:质量手册,质量手册应概述质量管理体系文件的结构。",1,0,1,0,0,0
ISO_requirements_v2_modified.csv,5 管理职责,"5.5.3 内部沟通
最高管理者应确保在组织内建立适当的沟通过程，并确保对质量管理体系的有效性进行沟通。","管理职责:内部沟通,最高管理者应确保在组织内建立适当的沟通过程。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,5 管理职责,"5.5.3 内部沟通
最高管理者应确保在组织内建立适当的沟通过程，并确保对质量管理体系的有效性进行沟通。","管理职责:内部沟通,最高管理者应确保对质量管理体系的有效性进行沟通。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,组织应将所需的基础设施的要求形成文件。",1,1,0,0,1,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,基础设施包括建筑物、工作场所和相关设施。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,基础设施包括过程设备（硬件和软件）。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,基础设施包括支持性服务（如运输、通讯或信息系统）。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求形成文件。",1,1,0,0,1,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,组织应将执行维护活动的时间间隔形成文件。",1,1,0,0,1,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,维护活动的要求应适用于生产设备。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,维护活动的要求应适用于工作环境控制设备。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,维护活动的要求应适用于监视测量设备。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,6 资源管理,"6.3 基础设施
为达到符合产品要求、防止产品混淆和确保产品有序处置，组织应将所需的基础设施的要求形成文件。适当时，基础设施包括：
a) 建筑物、工作场所和相关设施；
b) 过程设备(硬件和软件);
c) 支持性服务(如运输、通讯或信息系统)。
若维护活动或缺少维护活动可能影响产品质量，组织应将此类维护活动的要求包括执行维护活动的时间间隔形成文件。适当时，要求应适用于生产设备、工作环境控制设备和监视测量设备。
应保留此类维护的记录(见4.2.5)。","资源管理:基础设施,组织应保留维护活动的记录。",1,1,0,0,0,1
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,组织应策划和开发产品实现所需的过程。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,产品实现的策划应与质量管理体系其他过程的要求相一致。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。",1,1,0,0,1,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,组织应保留风险管理活动的记录。",1,1,0,0,0,1
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定质量目标和产品的要求。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定针对产品建立过程的需求。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定文件和提供资源的需求，包括基础设施和工作环境。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定针对产品所要求的验证、确认、监视、测量、检验和试验活动。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定针对产品所要求的处置、贮存、流通和可追溯性活动。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定产品接收准则。",1,1,0,0,0,0
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,在策划产品实现的过程中，适当时，组织应确定为实现过程及其产品满足要求提供证据所需的记录。",1,1,0,0,0,1
ISO_requirements_v2_modified.csv,7 产品实现,"7.1 产品实现的策划
组织应策划和开发产品实现所需的过程。产品实现的策划应与质量管理体系其他过程的要求相一致。
组织应在产品实现过程中，将风险管理的一个或多个过程形成文件。应保留风险管理活动的记录 (见4.2.5)。
在策划产品实现的过程中，适当时，组织应确定以下方面的内容：
a) 质量目标和产品的要求；
b) 针对产品建立过程、文件(见4.2.4)的需求和提供资源的需求，包括基础设施和工作环境；
c) 针对产品所要求的验证、确认、监视、测量、检验和试验、处置、贮存、流通和可追溯性活动以及产品接收准则；
d) 为实现过程及其产品满足要求提供证据所需的记录(见4.2.5)。
此策划的输出应以适合于组织运行方式的形式形成文件。","产品实现:产品实现的策划,产品实现的策划的输出应以适合于组织运行方式的形式形成文件。",1,1,0,0,1,0
ISO13485,7.3 设计和开发,"7.3.2 设计和开发策划
组织应对产品的设计和开发进行策划和控制。适当时，随着设计和开发的进展，应保持并更新设计和开发策划文件。
在设计和开发策划期间，组织应将以下方面形成文件：
a) 设计和开发的各个阶段；
b) 每个设计和开发阶段所需的一个或多个评审；
c) 适合于每个设计和开发阶段的验证、确认和设计转换活动；
d) 设计和开发的职责和权限；
e) 确保设计和开发输出对应设计和开发输入的可追溯的方法；
f) 所需的资源，包括必要的人员能力。","设计和开发:设计和开发策划,组织应对产品的设计和开发进行策划和控制。",1,1,0,0,0,0
ISO13485,7.3 设计和开发,"7.3.2 设计和开发策划
组织应对产品的设计和开发进行策划和控制。适当时，随着设计和开发的进展，应保持并更新设计和开发策划文件。
在设计和开发策划期间，组织应将以下方面形成文件：
a) 设计和开发的各个阶段；
b) 每个设计和开发阶段所需的一个或多个评审；
c) 适合于每个设计和开发阶段的验证、确认和设计转换活动；
d) 设计和开发的职责和权限；
e) 确保设计和开发输出对应设计和开发输入的可追溯的方法；
f) 所需的资源，包括必要的人员能力。","设计和开发:设计和开发策划,组织应随着设计和开发的进展，适当时保持并更新设计和开发策划文件。",1,1,0,0,1,0
ISO13485,7.3 设计和开发,"7.3.2 设计和开发策划
组织应对产品的设计和开发进行策划和控制。适当时，随着设计和开发的进展，应保持并更新设计和开发策划文件。
在设计和开发策划期间，组织应将以下方面形成文件：
a) 设计和开发的各个阶段；
b) 每个设计和开发阶段所需的一个或多个评审；
c) 适合于每个设计和开发阶段的验证、确认和设计转换活动；
d) 设计和开发的职责和权限；
e) 确保设计和开发输出对应设计和开发输入的可追溯的方法；
f) 所需的资源，包括必要的人员能力。","设计和开发:设计和开发策划,在设计和开发策划期间，组织应将设计和开发的各个阶段形成文件。",1,1,0,0,1,0
ISO13485,7.3 设计和开发,"7.3.2 设计和开发策划
组织应对产品的设计和开发进行策划和控制。适当时，随着设计和开发的进展，应保持并更新设计和开发策划文件。
在设计和开发策划期间，组织应将以下方面形成文件：
a) 设计和开发的各个阶段；
b) 每个设计和开发阶段所需的一个或多个评审；
c) 适合于每个设计和开发阶段的验证、确认和设计转换活动；
d) 设计和开发的职责和权限；
e) 确保设计和开发输出对应设计和开发输入的可追溯的方法；
f) 所需的资源，包括必要的人员能力。","设计和开发:设计和开发策划,在设计和开发策划期间，组织应将每个设计和开发阶段所需的一个或多个评审形成文件。",1,1,0,0,1,0
